"","member_casual","month","day_of_week","number_of_rides","avarage_duration"
"1","casual","January","Sunday",2372,1223.90050590219
"2","casual","January","Monday",4053,1596.78904515174
"3","casual","January","Tuesday",3418,1310.1881217086
"4","casual","January","Wednesday",4584,1238.56042757417
"5","casual","January","Thursday",4401,1092.19018404908
"6","casual","January","Friday",3107,1103.63373028645
"7","casual","January","Saturday",2523,1387.53547364249
"8","casual","February","Sunday",7108,1867.23958919527
"9","casual","February","Monday",6389,1532.60682422914
"10","casual","February","Tuesday",7592,1529.82323498419
"11","casual","February","Wednesday",6448,1184.38151364764
"12","casual","February","Thursday",8070,1218.21734820322
"13","casual","February","Friday",6447,1491.52753218551
"14","casual","February","Saturday",5107,1863.9978460936
"15","casual","March","Sunday",14846,1801.27650545602
"16","casual","March","Monday",10335,1449.75674891147
"17","casual","March","Tuesday",9893,1392.83018295765
"18","casual","March","Wednesday",9011,1143.60670291865
"19","casual","March","Thursday",8722,1184.21692272415
"20","casual","March","Friday",9722,1364.17650689159
"21","casual","March","Saturday",20004,1709.72965406919
"22","casual","April","Sunday",25314,1930.26949514103
"23","casual","April","Monday",19927,1469.22702865459
"24","casual","April","Tuesday",19143,1386.51083947135
"25","casual","April","Wednesday",11234,1277.96510592843
"26","casual","April","Thursday",11007,1244.0235304806
"27","casual","April","Friday",14245,1334.8146016146
"28","casual","April","Saturday",30919,1744.19010964132
"29","casual","May","Sunday",34494,1963.21647242999
"30","casual","May","Monday",24309,1656.01764778477
"31","casual","May","Tuesday",19780,1373.99241658241
"32","casual","May","Wednesday",33568,1446.12562559581
"33","casual","May","Thursday",28825,1385.01963573287
"34","casual","May","Friday",39655,1717.77974280673
"35","casual","May","Saturday",50489,1923.37564618036
"36","casual","June","Sunday",64855,1890.84633735206
"37","casual","June","Monday",30521,1577.51288607805
"38","casual","June","Tuesday",30216,1386.88232469477
"39","casual","June","Wednesday",39269,1546.27129919278
"40","casual","June","Thursday",35501,1499.36696070462
"41","casual","June","Friday",39933,1684.64752515473
"42","casual","June","Saturday",60874,1753.40783490471
"43","casual","July","Sunday",41698,1788.37105415105
"44","casual","July","Monday",37600,1574.52448058498
"45","casual","July","Tuesday",36925,1462.33562802991
"46","casual","July","Wednesday",46434,1630.24925967977
"47","casual","July","Thursday",40804,1608.96729651511
"48","casual","July","Friday",49278,1670.97320004936
"49","casual","July","Saturday",67842,1858.78787767213
"50","casual","August","Sunday",52343,1776.85902928724
"51","casual","August","Monday",29918,1472.42993769646
"52","casual","August","Tuesday",29253,1338.28731559219
"53","casual","August","Wednesday",34575,1384.93945567578
"54","casual","August","Thursday",41138,1379.08836491865
"55","casual","August","Friday",53515,1493.67913158859
"56","casual","August","Saturday",77656,1701.04801689464
"57","casual","September","Sunday",64333,1581.52092580827
"58","casual","September","Monday",51551,1324.83751692455
"59","casual","September","Tuesday",35238,1110.87993478743
"60","casual","September","Wednesday",42280,1073.88074441787
"61","casual","September","Thursday",43950,1059.09024830398
"62","casual","September","Friday",47447,1186.40224505266
"63","casual","September","Saturday",61695,1408.24255641459
"64","casual","October","Sunday",39404,1761.65560795844
"65","casual","October","Monday",21168,1303.28577659605
"66","casual","October","Tuesday",24705,1142.78745917886
"67","casual","October","Wednesday",27569,1104.10685628718
"68","casual","October","Thursday",29382,1178.91923977228
"69","casual","October","Friday",31532,1349.04501722163
"70","casual","October","Saturday",42692,1624.9209231239
"71","casual","November","Sunday",17007,1393.20275563076
"72","casual","November","Monday",10722,1090.54317179597
"73","casual","November","Tuesday",10481,891.473182331161
"74","casual","November","Wednesday",9985,954.510178767674
"75","casual","November","Thursday",8861,968.205108003037
"76","casual","November","Friday",16636,1129.92327458543
"77","casual","November","Saturday",19347,1382.07406543728
"78","casual","December","Sunday",6135,1380.62645427876
"79","casual","December","Monday",7094,1059.01341598677
"80","casual","December","Tuesday",5741,804.034713288629
"81","casual","December","Wednesday",4386,871.094829229421
"82","casual","December","Thursday",4426,1018.48596407685
"83","casual","December","Friday",4342,974.017980881519
"84","casual","December","Saturday",6245,1157.53555724497
"85","member","January","Sunday",9033,915.962360234695
"86","member","January","Monday",19780,813.330839231547
"87","member","January","Tuesday",18926,892.540896121737
"88","member","January","Wednesday",26510,924.752470765749
"89","member","January","Thursday",22683,722.658025834325
"90","member","January","Friday",13759,699.400973907987
"91","member","January","Saturday",9704,810.148186314922
"92","member","February","Sunday",17003,868.201611480327
"93","member","February","Monday",25739,740.87765647461
"94","member","February","Tuesday",31280,774.687563938619
"95","member","February","Wednesday",29050,761.168089500861
"96","member","February","Thursday",35763,749.157369348209
"97","member","February","Friday",22842,756.014315734174
"98","member","February","Saturday",14321,847.28496613365
"99","member","March","Sunday",26144,799.520042839657
"100","member","March","Monday",32850,712.611872146119
"101","member","March","Tuesday",34739,717.023460663807
"102","member","March","Wednesday",33710,666.853515277366
"103","member","March","Thursday",30520,678.190432503276
"104","member","March","Friday",28529,667.162606470609
"105","member","March","Saturday",32637,794.869595857462
"106","member","April","Sunday",31308,847.488852689408
"107","member","April","Monday",49928,736.305800352508
"108","member","April","Tuesday",55215,744.773449243865
"109","member","April","Wednesday",36989,676.175349428208
"110","member","April","Thursday",37191,682.155091285526
"111","member","April","Friday",34539,673.209328585078
"112","member","April","Saturday",38008,842.657177436329
"113","member","May","Sunday",37892,895.593265069144
"114","member","May","Monday",43120,794.728432282004
"115","member","May","Tuesday",47893,753.974108951204
"116","member","May","Wednesday",73258,787.377596985995
"117","member","May","Thursday",61970,756.425980313055
"118","member","May","Friday",64142,796.978473776942
"119","member","May","Saturday",50233,934.064957298987
"120","member","June","Sunday",60858,956.087277843325
"121","member","June","Monday",53893,778.701161059809
"122","member","June","Tuesday",57373,777.072052132983
"123","member","June","Wednesday",63271,832.913881857081
"124","member","June","Thursday",61355,811.421207268855
"125","member","June","Friday",55148,791.51289651453
"126","member","June","Saturday",57680,873.836579628762
"127","member","July","Sunday",41669,866.373489116992
"128","member","July","Monday",65977,766.769766221695
